순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박동원,LG,포수,79,602.1,1.314,14.24
2,홍창기,LG,우익수,84,683.0,0.832,9.01
3,구본혁,LG,3루수,34,120.0,0.774,8.39
4,오지환,LG,유격수,61,479.0,0.548,5.93
5,박해민,LG,중견수,94,739.0,0.426,4.62
6,구본혁,LG,2루수,21,121.0,0.31,3.36
7,문성주,LG,좌익수,59,428.0,0.245,2.66
8,안익훈,LG,중견수,5,24.0,0.24,2.6
9,최승민,LG,좌익수,11,19.0,0.205,2.22
10,김주성,LG,3루수,5,14.0,0.164,1.78
11,최원영,LG,중견수,3,6.0,0.123,1.33
12,안익훈,LG,좌익수,18,80.0,0.115,1.24
13,김민수,LG,3루수,2,5.0,0.098,1.06
14,김범석,LG,1루수,13,84.0,0.075,0.81
15,안익훈,LG,우익수,2,10.0,0.048,0.52
16,문성주,LG,중견수,1,2.0,0.035,0.38
17,문성주,LG,우익수,24,132.0,0.032,0.35
18,송찬의,LG,좌익수,1,9.0,0.025,0.27
19,김현종,LG,중견수,4,9.0,0.016,0.18
20,김현종,LG,우익수,1,3.0,0.011,0.12
21,백승현,LG,투수,23,17.2,0.0,0.0
22,김현종,LG,좌익수,4,5.0,-0.001,-0.01
22,김민수,LG,1루수,1,2.0,-0.001,-0.02
24,김성진,LG,1루수,3,3.0,-0.003,-0.03
25,함창건,LG,좌익수,2,15.0,-0.005,-0.06
26,김태우,LG,2루수,2,4.0,-0.015,-0.16
27,문보경,LG,1루수,31,72.0,-0.016,-0.18
28,김현수,LG,1루수,6,9.0,-0.026,-0.28
29,최원영,LG,좌익수,6,15.0,-0.035,-0.37
30,최명경,LG,3루수,1,6.0,-0.04,-0.43
31,김주성,LG,유격수,5,14.0,-0.07,-0.75
32,최원영,LG,우익수,4,9.0,-0.072,-0.78
33,김성우,LG,포수,2,10.0,-0.075,-0.81
34,김민수,LG,유격수,3,11.0,-0.088,-0.96
35,신민재,LG,2루수,91,715.0,-0.105,-1.14
36,손호영,LG,3루수,1,3.0,-0.114,-1.24
37,홍창기,LG,중견수,12,61.0,-0.121,-1.31
38,김범석,LG,포수,11,43.1,-0.123,-1.33
39,허도환,LG,포수,40,180.1,-0.201,-2.18
40,구본혁,LG,유격수,47,337.0,-0.315,-3.41
41,김현수,LG,좌익수,40,270.0,-0.453,-4.9
42,오스틴,LG,1루수,82,671.0,-0.726,-7.86
43,문보경,LG,3루수,90,691.0,-0.749,-8.11
55,진우영,LG,투수,6,7.2,nan,nan
55,최승민,LG,우익수,1,2.0,nan,nan
55,이지강,LG,투수,19,25.1,nan,nan
55,김대원,LG,2루수,1,1.0,nan,nan
55,함창건,LG,우익수,2,2.0,nan,nan
55,김진성,LG,투수,47,44.0,nan,nan
55,김태우,LG,3루수,1,2.0,nan,nan
55,김대현,LG,투수,32,32.0,nan,nan
55,전준호,LG,포수,3,5.0,nan,nan
55,최동환,LG,투수,23,20.0,nan,nan
55,유영찬,LG,투수,42,45.0,nan,nan
