순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김영웅,samsung,유격수,38,304.2,1.079,11.68
2,이재현,samsung,유격수,63,499.2,0.852,9.22
3,강민호,samsung,포수,84,536.0,0.726,7.86
4,김지찬,samsung,중견수,79,547.1,0.677,7.33
5,김현준,samsung,우익수,23,124.0,0.633,6.85
6,이성규,samsung,우익수,45,260.1,0.588,6.37
7,전병우,samsung,3루수,24,144.2,0.345,3.73
8,강한울,samsung,3루수,9,41.0,0.34,3.68
9,김동진,samsung,2루수,20,83.0,0.313,3.38
10,맥키넌,samsung,1루수,50,423.1,0.285,3.09
11,류지혁,samsung,2루수,42,272.1,0.277,3.0
12,김재혁,samsung,좌익수,5,23.0,0.274,2.97
13,김호진,samsung,3루수,12,47.0,0.231,2.5
14,김태훈,samsung,우익수,4,20.0,0.198,2.15
15,김성윤,samsung,우익수,9,59.1,0.166,1.79
16,구자욱,samsung,좌익수,71,559.0,0.159,1.72
17,김재상,samsung,2루수,32,205.1,0.151,1.64
18,양우현,samsung,2루수,4,31.0,0.139,1.51
19,안주형,samsung,3루수,2,3.0,0.126,1.37
20,김영웅,samsung,2루수,7,35.0,0.087,0.94
20,류승민,samsung,우익수,4,7.0,0.087,0.94
22,이병헌,samsung,포수,64,298.1,0.084,0.91
23,이성규,samsung,좌익수,7,30.0,0.079,0.85
24,전병우,samsung,1루수,3,18.0,0.067,0.73
25,윤정빈,samsung,1루수,5,23.0,0.065,0.7
26,김재혁,samsung,1루수,4,31.0,0.047,0.51
27,이창용,samsung,1루수,3,22.0,0.046,0.49
28,김성윤,samsung,중견수,21,83.1,0.033,0.36
29,김재상,samsung,3루수,2,3.0,0.031,0.33
30,윤정빈,samsung,우익수,20,133.2,0.025,0.27
30,류지혁,samsung,3루수,24,157.1,0.025,0.27
32,윤정빈,samsung,좌익수,5,23.1,0.016,0.18
33,공민규,samsung,1루수,2,5.0,0.015,0.17
34,김호진,samsung,2루수,1,2.0,0.002,0.02
35,카데나스,samsung,좌익수,1,1.0,-0.001,-0.01
36,김헌곤,samsung,우익수,33,203.1,-0.013,-0.14
37,김태훈,samsung,좌익수,2,3.2,-0.014,-0.15
38,김재혁,samsung,중견수,6,18.0,-0.018,-0.19
39,류지혁,samsung,1루수,7,12.2,-0.029,-0.31
40,김재성,samsung,포수,7,29.0,-0.032,-0.34
41,김재성,samsung,1루수,1,5.0,-0.038,-0.41
42,김지찬,samsung,2루수,10,14.0,-0.055,-0.6
43,김호진,samsung,유격수,8,23.0,-0.064,-0.69
44,김동진,samsung,3루수,5,16.0,-0.069,-0.74
45,이성규,samsung,1루수,23,86.0,-0.07,-0.75
46,박병호,samsung,1루수,19,150.2,-0.073,-0.79
47,오재일,samsung,1루수,12,84.2,-0.107,-1.15
48,김현준,samsung,좌익수,2,12.1,-0.109,-1.18
49,공민규,samsung,3루수,9,33.0,-0.112,-1.21
50,카데나스,samsung,우익수,4,32.2,-0.12,-1.29
51,이창용,samsung,3루수,1,4.0,-0.121,-1.31
52,김재혁,samsung,우익수,11,23.0,-0.124,-1.34
53,안주형,samsung,유격수,8,32.0,-0.125,-1.35
54,김헌곤,samsung,좌익수,45,203.0,-0.149,-1.61
55,김헌곤,samsung,중견수,4,15.0,-0.182,-1.97
56,김현준,samsung,중견수,17,64.2,-0.202,-2.19
57,이성규,samsung,중견수,24,135.0,-0.209,-2.26
58,김성윤,samsung,좌익수,1,8.0,-0.22,-2.38
59,맥키넌,samsung,3루수,6,36.2,-0.232,-2.51
60,강한울,samsung,2루수,8,25.0,-0.249,-2.69
61,김영웅,samsung,3루수,52,377.2,-0.308,-3.33
62,안주형,samsung,2루수,41,195.2,-0.34,-3.68
74,강한울,samsung,1루수,1,1.0,nan,nan
74,김재윤,samsung,투수,45,47.0,nan,nan
74,최지광,samsung,투수,15,18.1,nan,nan
74,육선엽,samsung,투수,4,6.2,nan,nan
74,김대우,samsung,투수,24,30.0,nan,nan
74,강한울,samsung,유격수,3,3.0,nan,nan
74,김재상,samsung,유격수,1,1.0,nan,nan
74,김호진,samsung,1루수,1,1.0,nan,nan
74,김태훈,samsung,투수,38,36.1,nan,nan
74,이상민,samsung,투수,13,14.0,nan,nan
74,오승환,samsung,투수,43,42.2,nan,nan
