순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,양석환,두산,1.0,1,1,0,0,0,0,0,0,0,0,1번
1,양의지,두산,1.0,1,1,0,0,0,1,0,0,0,0,1번
3,홍성호,두산,0.5,2,1,0,0,0,0,0,0,1,0,1번
4,전다민,두산,0.333,3,1,1,0,0,1,0,0,1,0,1번
5,라모스,두산,0.289,76,22,3,0,4,12,5,0,15,1,1번
6,정수빈,두산,0.271,284,77,10,3,3,23,38,6,40,6,1번
7,전민재,두산,0.167,6,1,0,0,0,0,0,0,0,2,1번
8,김대한,두산,0.111,9,1,0,0,0,0,0,0,5,0,1번
9,김태근,두산,0.0,8,0,0,0,0,0,0,1,4,0,1번
9,박민준,두산,0.0,1,0,0,0,0,0,0,0,0,0,1번
9,이유찬,두산,0.0,3,0,0,0,0,0,0,0,2,0,1번
9,조수행,두산,0.0,7,0,0,0,0,0,1,0,2,0,1번
1,서예일,두산,0.667,3,2,0,0,0,1,0,0,1,0,2번
2,박준영,두산,0.333,3,1,0,0,0,0,1,1,2,0,2번
2,정수빈,두산,0.333,30,10,2,0,0,5,3,0,3,0,2번
4,허경민,두산,0.328,250,82,16,0,4,38,19,11,16,4,2번
5,전민재,두산,0.276,29,8,0,0,0,3,0,1,7,0,2번
6,이유찬,두산,0.217,23,5,0,0,0,1,2,0,7,1,2번
7,라모스,두산,0.200,30,6,1,1,0,6,2,0,3,0,2번
8,김재호,두산,0.167,6,1,0,0,0,0,0,0,2,0,2번
9,조수행,두산,0.133,15,2,0,0,0,1,1,0,2,0,2번
10,김대한,두산,0.000,1,0,0,0,0,0,0,0,0,1,2번
10,김재환,두산,0.000,1,0,0,0,0,0,0,0,0,0,2번
10,박계범,두산,0.000,2,0,0,0,0,0,1,0,1,1,2번
10,양의지,두산,-,0,0,0,0,0,0,1,0,0,0,2번
10,전다민,두산,-,0,0,0,0,0,0,1,0,0,0,2번
10,홍성호,두산,0.000,1,0,0,0,0,0,0,0,1,0,2번
1,안승한,두산,1.000,1,1,0,0,0,0,0,0,0,0,3번
2,조수행,두산,0.500,2,1,0,0,0,0,1,0,1,0,3번
3,양의지,두산,0.314,188,59,8,0,6,44,13,3,22,5,3번
4,라모스,두산,0.301,73,22,6,0,2,6,8,1,20,3,3번
5,김기연,두산,0.286,7,2,0,0,0,0,0,0,1,1,3번
6,강승호,두산,0.276,116,32,8,3,2,18,2,1,38,0,3번
7,허경민,두산,0.250,12,3,0,0,1,2,1,0,0,2,3번
8,김민혁,두산,-,0,0,0,0,0,0,1,0,0,0,3번
8,김재호,두산,0.000,1,0,0,0,0,0,0,0,0,0,3번
8,김태근,두산,0.000,2,0,0,0,0,0,0,0,2,0,3번
8,서예일,두산,0.000,1,0,0,0,0,0,0,0,0,0,3번
1,윤준호,두산,1.0,1,1,0,0,0,0,0,0,0,0,4번
2,조수행,두산,0.667,3,2,1,0,0,1,0,0,1,0,4번
3,양의지,두산,0.383,120,46,4,0,6,28,9,3,12,4,4번
4,강승호,두산,0.25,4,1,1,0,0,0,0,0,1,1,4번
4,김대한,두산,0.25,4,1,0,0,0,0,0,1,2,0,4번
6,김재환,두산,0.246,228,56,12,0,13,46,31,1,87,5,4번
7,양석환,두산,0.111,9,1,1,0,0,0,0,0,4,0,4번
8,김기연,두산,0.0,3,0,0,0,0,0,0,0,0,0,4번
8,김민혁,두산,0.0,1,0,0,0,0,0,0,0,1,0,4번
8,안승한,두산,0.0,1,0,0,0,0,0,0,0,0,0,4번
8,오명진,두산,0.0,1,0,0,0,0,1,1,0,1,0,4번
8,전다민,두산,0.0,1,0,0,0,0,0,0,0,1,0,4번
8,정수빈,두산,0.0,2,0,0,0,0,0,0,0,0,0,4번
8,홍성호,두산,0.0,1,0,0,0,0,0,0,0,0,0,4번
1,박준영,두산,1.0,1,1,0,0,1,1,0,0,0,0,5번
1,전다민,두산,1.0,1,1,0,0,0,0,0,0,0,0,5번
3,조수행,두산,0.5,2,1,0,0,0,0,1,0,0,0,5번
3,홍성호,두산,0.5,2,1,0,0,0,0,0,0,0,0,5번
