순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,양찬열,두산,0.500,0,1,0,-,0,-,3.00,0.000,0.4,0.35
2,양의지,두산,0.341,24,67,112,0.60,11,0.68,3.70,0.153,57.4,0.299
3,허경민,두산,0.337,25,86,98,0.88,4,1.28,3.72,0.125,54.0,0.296
4,전다민,두산,0.333,1,4,1,4.00,0,0.86,4.63,0.056,4.3,0.322
4,홍성호,두산,0.333,2,1,2,0.50,0,0.20,3.54,0.167,2.2,0.298
6,라모스,두산,0.305,32,75,87,0.86,6,0.45,3.72,0.177,52.9,0.283
7,서예일,두산,0.286,0,3,4,0.75,0,0.00,4.29,0.000,1.1,0.2
8,강승호,두산,0.285,44,62,93,0.67,8,0.20,3.75,0.207,57.9,0.272
9,이유찬,두산,0.280,5,21,32,0.66,1,0.54,4.00,0.084,14.1,0.255
10,정수빈,두산,0.278,18,110,95,1.16,2,0.93,4.02,0.080,52.9,0.252
11,전민재,두산,0.276,7,45,37,1.22,1,0.27,3.49,0.071,16.4,0.231
12,조수행,두산,0.267,4,85,47,1.81,0,0.70,3.60,0.027,31.2,0.224
13,김기연,두산,0.262,9,38,50,0.76,1,0.54,3.71,0.114,18.0,0.24
14,김재환,두산,0.261,37,49,81,0.60,5,0.32,4.12,0.224,55.5,0.274
15,양석환,두산,0.252,40,66,119,0.55,8,0.40,4.00,0.232,52.9,0.266
16,김재호,두산,0.250,4,12,21,0.57,1,0.90,4.01,0.071,7.1,0.241
16,윤준호,두산,0.250,0,1,1,1.00,0,0.00,4.50,0.000,0.2,0.175
18,박준영,두산,0.233,15,29,47,0.62,1,0.38,4.40,0.178,23.5,0.248
19,김민혁,두산,0.200,1,0,1,0.00,0,1.00,5.25,0.600,2.1,0.425
19,박계범,두산,0.200,1,3,2,1.50,0,0.71,4.70,0.067,1.7,0.247
19,안승한,두산,0.200,0,1,2,0.50,0,0.00,3.80,0.000,0.1,0.14
19,장승현,두산,0.200,2,8,3,2.67,0,0.40,3.70,0.100,1.4,0.198
23,김인태,두산,0.174,1,9,4,2.25,0,0.29,3.38,0.130,1.9,0.18
24,김대한,두산,0.139,2,15,24,0.63,0,0.32,3.90,0.056,4.1,0.156
25,김태근,두산,0.095,0,4,5,0.80,0,0.00,4.13,0.000,-0.4,0.102
26,김동주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김호준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,박민준,두산,0.000,0,1,1,1.00,0,-,2.50,0.000,-0.2,0.0
26,박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,오명진,두산,0.000,0,0,0,-,0,1.00,4.50,0.000,0.2,0.225
26,이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,최지강,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
26,홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
