순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
12,이재상,키움,0.222,72,16,1,0,1,5,1,1,27,0,하위(6~9번)
13,김동헌,키움,0.2,5,1,0,0,0,1,1,1,0,0,하위(6~9번)
13,박수종,키움,0.2,30,6,1,0,0,2,4,0,2,0,하위(6~9번)
15,김태진,키움,0.192,73,14,3,0,0,2,2,0,10,0,하위(6~9번)
16,장재영,키움,0.171,41,7,2,0,1,4,8,2,25,2,하위(6~9번)
17,김주형,키움,0.167,6,1,0,0,0,1,1,2,3,0,하위(6~9번)
17,최주환,키움,0.167,36,6,1,0,1,3,3,0,5,0,하위(6~9번)
19,김시앙,키움,0.143,7,1,0,0,0,0,0,0,1,0,하위(6~9번)
19,예진원,키움,0.143,14,2,0,0,0,0,1,0,6,1,하위(6~9번)
21,임지열,키움,0.139,36,5,0,0,1,4,7,0,12,2,하위(6~9번)
22,박성빈,키움,0.125,8,1,0,0,0,0,1,0,2,0,하위(6~9번)
23,김웅빈,키움,0.1,10,1,0,0,0,0,1,1,3,0,하위(6~9번)
24,김혜성,키움,0.0,1,0,0,0,0,0,0,0,1,0,하위(6~9번)
24,박주홍,키움,0.0,5,0,0,0,0,0,1,0,1,0,하위(6~9번)
24,박준형,키움,0.0,5,0,0,0,0,0,0,0,3,0,하위(6~9번)
24,이승원,키움,0.0,4,0,0,0,0,0,0,0,2,0,하위(6~9번)
